Object,tool,quantity,time,type
Twig Foundation,Stone Spear,2,23 sec,Melee
Twig Foundation,Stone Spear,1,3 sec,Melee
Twig Foundation,Longsword,1,14 sec,Melee
Twig Foundation,Salvaged Sword,1,12 sec,Melee
Twig Foundation,Torch,4,2 min 13 sec,Melee
Twig Foundation,TorchLit,3,24 sec,Melee
Twig Foundation,Torch,1,13 sec,Melee
Twig Foundation,TorchLit,1,9 sec,Melee
Twig Foundation,Wooden Spear,2,31 sec,Melee
Twig Foundation,Wooden Spear,1,3 sec,Melee
Wooden Foundation,40mm HE Grenade,8,8 sec,Explosive
Wooden Foundation,Rocket,2,6 sec,Explosive
Wooden Foundation,Incendiary Rocket,1,20 sec,Explosive
Wooden Foundation,High Velocity Rocket,9,48 sec,Explosive
Wooden Foundation,High Velocity Rocket,8,42 sec,Explosive
Wooden Foundation,Timed Explosive Charge,1,10 sec,Explosive
Wooden Foundation,Beancan Grenade ,13,51 sec,Explosive
Wooden Foundation,Fire Arrow,125,2 min 4 sec,Explosive
Wooden Foundation,F1 Grenade ,59,2 min 59 sec,Explosive
Wooden Foundation,Flame Thrower,206,44 sec,Explosive
Wooden Foundation,Satchel Charge,3,12 sec,Explosive
Wooden Foundation,Explosive 5.56 Rifle Ammo,49,21 sec,Explosive
Wooden Foundation,Explosive 5.56 Rifle Ammo,44,15 sec,Explosive
Wooden Foundation,Flashlight,642,2 hours 29 min 35 sec,Melee
Wooden Foundation,Flashlight,65,14 min 58 sec,Melee
Wooden Foundation,Jackhammer,22,4 min 31 sec,Melee
Wooden Foundation,JackhammerWorkbench Refill,2,6 min 35 sec,Melee
Wooden Foundation,Jackhammer,3,27 sec,Melee
Wooden Foundation,JackhammerWorkbench Refill,1,31 sec,Melee
Wooden Foundation,Bone Club,435,2 hours 8 min 45 sec,Melee
Wooden Foundation,Bone Club,44,12 min 52 sec,Melee
Wooden Foundation,Bone Knife,42,12 min 50 sec,Melee
Wooden Foundation,Bone Knife,4,1 min 16 sec,Melee
Wooden Foundation,Chainsaw,35,4 min 2 sec,Melee
Wooden Foundation,Chainsaw,3,23 sec,Melee
Wooden Foundation,Salvaged Cleaver,11,7 min 8 sec,Melee
Wooden Foundation,Salvaged Cleaver,1,42 sec,Melee
Wooden Foundation,Hatchet,12,11 min 54 sec,Melee
Wooden Foundation,Hatchet,2,1 min 12 sec,Melee
Wooden Foundation,Combat Knife,37,6 min 9 sec,Melee
Wooden Foundation,Combat Knife,4,36 sec,Melee
Wooden Foundation,Mace,132,1 hour 25 min 31 sec,Melee
Wooden Foundation,Mace,14,8 min 33 sec,Melee
Wooden Foundation,Machete,14,6 min 11 sec,Melee
Wooden Foundation,Machete,2,37 sec,Melee
Wooden Foundation,Paddle,97,1 hour 28 min 24 sec,Melee
Wooden Foundation,Paddle,10,8 min 50 sec,Melee
Wooden Foundation,Pickaxe,11,15 min 47 sec,Melee
Wooden Foundation,Pickaxe,1,1 min 34 sec,Melee
Wooden Foundation,Rock,368,4 hours 36 min 57 sec,Melee
Wooden Foundation,Rock,37,27 min 41 sec,Melee
Wooden Foundation,Salvaged Axe,6,7 min 2 sec,Melee
Wooden Foundation,Salvaged Axe,1,42 sec,Melee
Wooden Foundation,Salvaged Hammer,58,1 hour 10 min 24 sec,Melee
Wooden Foundation,Salvaged Hammer,6,7 min 2 sec,Melee
Wooden Foundation,Salvaged Icepick,8,8 min 48 sec,Melee
Wooden Foundation,Salvaged Icepick,1,52 sec,Melee
Wooden Foundation,Stone Hatchet,46,18 min 36 sec,Melee
Wooden Foundation,Stone Hatchet,5,1 min 52 sec,Melee
Wooden Foundation,Stone Pickaxe,96,34 min 28 sec,Melee
Wooden Foundation,Stone Pickaxe,10,3 min 27 sec,Melee
Wooden Foundation,Stone Spear,65,18 min 56 sec,Melee
Wooden Foundation,Stone Spear,7,1 min 54 sec,Melee
Wooden Foundation,Longsword,11,5 min 44 sec,Melee
Wooden Foundation,Longsword,1,34 sec,Melee
Wooden Foundation,Salvaged Sword,8,5 min 19 sec,Melee
Wooden Foundation,Salvaged Sword,1,31 sec,Melee
Wooden Foundation,Torch,962,9 hours 17 min 41 sec,Melee
Wooden Foundation,TorchLit,325,54 min 38 sec,Melee
Wooden Foundation,Torch,97,55 min 46 sec,Melee
Wooden Foundation,TorchLit,179,30 min 3 sec,Melee
Wooden Foundation,Wooden Spear,59,25 min 58 sec,Melee
Wooden Foundation,Wooden Spear,6,2 min 35 sec,Melee
Stone Foundation,40mm HE Grenade,29,33 sec,Explosive
Stone Foundation,40mm HE Grenade,27,32 sec,Explosive
Stone Foundation,Rocket,4,18 sec,Explosive
Stone Foundation,High Velocity Rocket,32,3 min 6 sec,Explosive
Stone Foundation,High Velocity Rocket,31,3 min ,Explosive
Stone Foundation,Timed Explosive Charge,2,11 sec,Explosive
Stone Foundation,Beancan Grenade ,46,2 min 55 sec,Explosive
Stone Foundation,F1 Grenade ,182,9 min 8 sec,Explosive
Stone Foundation,Satchel Charge,10,22 sec,Explosive
Stone Foundation,Explosive 5.56 Rifle Ammo,185,1 min 18 sec,Explosive
Stone Foundation,Explosive 5.56 Rifle Ammo,173,1 min 12 sec,Explosive
Stone Foundation,Flashlight,1283,4 hours 59 min 9 sec,Melee
Stone Foundation,Flashlight,129,29 min 55 sec,Melee
Stone Foundation,Jackhammer,88,18 min 7 sec,Melee
Stone Foundation,JackhammerWorkbench Refill,5,27 min 2 sec,Melee
Stone Foundation,Jackhammer,9,1 min 48 sec,Melee
Stone Foundation,JackhammerWorkbench Refill,1,2 min 10 sec,Melee
Stone Foundation,Bone Club,869,4 hours 17 min 31 sec,Melee
Stone Foundation,Bone Club,87,25 min 44 sec,Melee
Stone Foundation,Bone Knife,373,1 hour 50 min 22 sec,Melee
Stone Foundation,Bone Knife,36,11 min ,Melee
Stone Foundation,Chainsaw,695,1 hour 21 min ,Melee
Stone Foundation,Chainsaw,70,8 min 5 sec,Melee
Stone Foundation,Salvaged Cleaver,209,2 hours 22 min 22 sec,Melee
Stone Foundation,Salvaged Cleaver,21,14 min 14 sec,Melee
Stone Foundation,Hatchet,150,2 hours 32 min 29 sec,Melee
Stone Foundation,Hatchet,15,15 min 14 sec,Melee
Stone Foundation,Combat Knife,314,52 min 50 sec,Melee
Stone Foundation,Combat Knife,32,5 min 17 sec,Melee
Stone Foundation,Mace,264,2 hours 51 min 3 sec,Melee
Stone Foundation,Mace,27,17 min 6 sec,Melee
Stone Foundation,Machete,275,2 hours 3 min 37 sec,Melee
Stone Foundation,Machete,28,12 min 22 sec,Melee
Stone Foundation,Paddle,194,2 hours 56 min 50 sec,Melee
Stone Foundation,Paddle,19,17 min 40 sec,Melee
Stone Foundation,Pickaxe,72,1 hour 45 min 21 sec,Melee
Stone Foundation,Pickaxe,7,10 min 31 sec,Melee
Stone Foundation,Rock,736,9 hours 13 min 55 sec,Melee
Stone Foundation,Rock,74,55 min 23 sec,Melee
Stone Foundation,Salvaged Axe,94,1 hour 51 min 13 sec,Melee
Stone Foundation,Salvaged Axe,10,11 min 7 sec,Melee
Stone Foundation,Salvaged Hammer,116,2 hours 20 min 49 sec,Melee
Stone Foundation,Salvaged Hammer,12,14 min 5 sec,Melee
Stone Foundation,Salvaged Icepick,64,1 hour 15 min 28 sec,Melee
Stone Foundation,Salvaged Icepick,7,7 min 33 sec,Melee
Stone Foundation,Stone Hatchet,642,4 hours 20 min 41 sec,Melee
Stone Foundation,Stone Hatchet,65,26 min 4 sec,Melee
Stone Foundation,Stone Pickaxe,340,2 hours 2 min 50 sec,Melee
Stone Foundation,Stone Pickaxe,33,12 min 15 sec,Melee
Stone Foundation,Stone Spear,260,1 hour 15 min 46 sec,Melee
Stone Foundation,Stone Spear,26,7 min 34 sec,Melee
Stone Foundation,Longsword,209,1 hour 54 min 36 sec,Melee
Stone Foundation,Longsword,21,11 min 28 sec,Melee
Stone Foundation,Salvaged Sword,157,1 hour 46 min 46 sec,Melee
Stone Foundation,Salvaged Sword,16,10 min 40 sec,Melee
Stone Foundation,Torch,1924,18 hours 35 min 23 sec,Melee
Stone Foundation,TorchLit,7143,20 hours 2 min 22 sec,Melee
Stone Foundation,Torch,193,1 hour 51 min 32 sec,Melee
Stone Foundation,TorchLit,715,2 hours 14 sec,Melee
Stone Foundation,Wooden Spear,236,1 hour 43 min 55 sec,Melee
Stone Foundation,Wooden Spear,23,10 min 22 sec,Melee
Metal Foundation,40mm HE Grenade,57,1 min 12 sec,Explosive
Metal Foundation,40mm HE Grenade,56,1 min 12 sec,Explosive
Metal Foundation,Rocket,8,42 sec,Explosive
Metal Foundation,High Velocity Rocket,67,6 min 36 sec,Explosive
Metal Foundation,Timed Explosive Charge,4,14 sec,Explosive
Metal Foundation,Beancan Grenade ,112,7 min 2 sec,Explosive
Metal Foundation,F1 Grenade ,993,49 min 41 sec,Explosive
Metal Foundation,Satchel Charge,23,42 sec,Explosive
Metal Foundation,Explosive 5.56 Rifle Ammo,461,3 min 18 sec,Explosive
Metal Foundation,Explosive 5.56 Rifle Ammo,399,2 min 51 sec,Explosive
Metal Foundation,Flashlight,5129,19 hours 56 min 35 sec,Melee
Metal Foundation,Flashlight,513,1 hour 59 min 39 sec,Melee
Metal Foundation,Jackhammer,439,1 hour 30 min 38 sec,Melee
Metal Foundation,JackhammerWorkbench Refill,25,2 hours 17 min 50 sec,Melee
Metal Foundation,Jackhammer,44,9 min 3 sec,Melee
Metal Foundation,JackhammerWorkbench Refill,3,13 min 16 sec,Melee
Metal Foundation,Bone Club,3473,17 hours 10 min 5 sec,Melee
Metal Foundation,Bone Club,348,1 hour 43 min ,Melee
Metal Foundation,Bone Knife,1737,8 hours 35 min 2 sec,Melee
Metal Foundation,Bone Knife,167,51 min 22 sec,Melee
Metal Foundation,Chainsaw,2778,5 hours 24 min 3 sec,Melee
Metal Foundation,Chainsaw,278,32 min 23 sec,Melee
Metal Foundation,Salvaged Cleaver,834,9 hours 29 min 27 sec,Melee
Metal Foundation,Salvaged Cleaver,84,56 min 57 sec,Melee
Metal Foundation,Hatchet,598,10 hours 9 min 57 sec,Melee
Metal Foundation,Hatchet,59,1 hour 58 sec,Melee
Metal Foundation,Combat Knife,1466,4 hours 6 min 38 sec,Melee
Metal Foundation,Combat Knife,147,24 min 39 sec,Melee
Metal Foundation,Mace,1053,11 hours 24 min 12 sec,Melee
Metal Foundation,Mace,106,1 hour 8 min 25 sec,Melee
Metal Foundation,Machete,1099,8 hours 14 min 30 sec,Melee
Metal Foundation,Machete,110,49 min 27 sec,Melee
Metal Foundation,Paddle,776,11 hours 47 min 22 sec,Melee
Metal Foundation,Paddle,76,1 hour 10 min 42 sec,Melee
Metal Foundation,Pickaxe,345,8 hours 25 min 44 sec,Melee
Metal Foundation,Pickaxe,35,50 min 34 sec,Melee
Metal Foundation,Rock,2942,36 hours 55 min 41 sec,Melee
Metal Foundation,Rock,295,3 hours 41 min 34 sec,Melee
Metal Foundation,Salvaged Axe,397,7 hours 49 min 34 sec,Melee
Metal Foundation,Salvaged Axe,39,46 min 56 sec,Melee
Metal Foundation,Salvaged Hammer,463,9 hours 23 min 16 sec,Melee
Metal Foundation,Salvaged Hammer,46,56 min 19 sec,Melee
Metal Foundation,Salvaged Icepick,298,5 hours 52 min 10 sec,Melee
Metal Foundation,Salvaged Icepick,30,35 min 12 sec,Melee
Metal Foundation,Stone Hatchet,2565,17 hours 22 min 44 sec,Melee
Metal Foundation,Stone Hatchet,257,1 hour 44 min 16 sec,Melee
Metal Foundation,Stone Pickaxe,1611,9 hours 42 min 24 sec,Melee
Metal Foundation,Stone Pickaxe,155,58 min 7 sec,Melee
Metal Foundation,Stone Spear,1299,6 hours 18 min 47 sec,Melee
Metal Foundation,Stone Spear,130,37 min 52 sec,Melee
Metal Foundation,Longsword,834,7 hours 38 min 21 sec,Melee
Metal Foundation,Longsword,84,45 min 51 sec,Melee
Metal Foundation,Salvaged Sword,625,7 hours 7 min 4 sec,Melee
Metal Foundation,Salvaged Sword,61,42 min 40 sec,Melee
Metal Foundation,Torch,7693,74 hours 21 min 32 sec,Melee
Metal Foundation,TorchLit,28572,80 hours 9 min 31 sec,Melee
Metal Foundation,Torch,770,7 hours 26 min 9 sec,Melee
Metal Foundation,TorchLit,2858,8 hours 57 sec,Melee
Metal Foundation,Wooden Spear,1177,8 hours 39 min 36 sec,Melee
Metal Foundation,Wooden Spear,118,51 min 57 sec,Melee
Armored Foundation,40mm HE Grenade,114,2 min 26 sec,Explosive
Armored Foundation,40mm HE Grenade,111,2 min 24 sec,Explosive
Armored Foundation,Rocket,15,1 min 24 sec,Explosive
Armored Foundation,High Velocity Rocket,134,13 min 18 sec,Explosive
Armored Foundation,Timed Explosive Charge,8,20 sec,Explosive
Armored Foundation,Beancan Grenade ,223,13 min 58 sec,Explosive
Armored Foundation,F1 Grenade ,1986,1 hour 39 min 20 sec,Explosive
Armored Foundation,Satchel Charge,46,1 min 16 sec,Explosive
Armored Foundation,Explosive 5.56 Rifle Ammo,799,5 min 46 sec,Explosive
Armored Foundation,Explosive 5.56 Rifle Ammo,798,5 min 46 sec,Explosive
Armored Foundation,Flashlight,10257,39 hours 53 min 10 sec,Melee
Armored Foundation,Flashlight,1026,3 hours 59 min 19 sec,Melee
Armored Foundation,Jackhammer,878,3 hours 1 min 17 sec,Melee
Armored Foundation,JackhammerWorkbench Refill,49,4 hours 35 min 40 sec,Melee
Armored Foundation,Jackhammer,87,18 min 6 sec,Melee
Armored Foundation,JackhammerWorkbench Refill,5,26 min 50 sec,Melee
Armored Foundation,Bone Club,6945,34 hours 20 min 10 sec,Melee
Armored Foundation,Bone Club,695,3 hours 26 min ,Melee
Armored Foundation,Bone Knife,3473,17 hours 10 min 5 sec,Melee
Armored Foundation,Bone Knife,334,1 hour 42 min 46 sec,Melee
Armored Foundation,Chainsaw,5556,10 hours 48 min 8 sec,Melee
Armored Foundation,Chainsaw,556,1 hour 4 min 48 sec,Melee
Armored Foundation,Salvaged Cleaver,1667,18 hours 58 min 54 sec,Melee
Armored Foundation,Salvaged Cleaver,167,1 hour 53 min 54 sec,Melee
Armored Foundation,Hatchet,1195,20 hours 19 min 54 sec,Melee
Armored Foundation,Hatchet,118,2 hours 1 min 57 sec,Melee
Armored Foundation,Combat Knife,2931,8 hours 13 min 17 sec,Melee
Armored Foundation,Combat Knife,294,49 min 20 sec,Melee
Armored Foundation,Mace,2106,22 hours 48 min 25 sec,Melee
Armored Foundation,Mace,211,2 hours 16 min 50 sec,Melee
Armored Foundation,Machete,2198,16 hours 29 min ,Melee
Armored Foundation,Machete,220,1 hour 38 min 54 sec,Melee
Armored Foundation,Paddle,1551,23 hours 34 min 43 sec,Melee
Armored Foundation,Paddle,152,2 hours 21 min 24 sec,Melee
Armored Foundation,Pickaxe,690,16 hours 51 min 29 sec,Melee
Armored Foundation,Pickaxe,69,1 hour 41 min 8 sec,Melee
Armored Foundation,Rock,5883,73 hours 51 min 22 sec,Melee
Armored Foundation,Rock,589,7 hours 23 min 8 sec,Melee
Armored Foundation,Salvaged Axe,794,15 hours 39 min 9 sec,Melee
Armored Foundation,Salvaged Axe,78,1 hour 33 min 53 sec,Melee
Armored Foundation,Salvaged Hammer,926,18 hours 46 min 32 sec,Melee
Armored Foundation,Salvaged Hammer,92,1 hour 52 min 38 sec,Melee
Armored Foundation,Salvaged Icepick,596,11 hours 44 min 22 sec,Melee
Armored Foundation,Salvaged Icepick,59,1 hour 10 min 25 sec,Melee
Armored Foundation,Stone Hatchet,5129,34 hours 45 min 28 sec,Melee
Armored Foundation,Stone Hatchet,513,3 hours 28 min 32 sec,Melee
Armored Foundation,Stone Pickaxe,3221,19 hours 24 min 47 sec,Melee
Armored Foundation,Stone Pickaxe,309,1 hour 56 min 15 sec,Melee
Armored Foundation,Stone Spear,2598,12 hours 37 min 35 sec,Melee
Armored Foundation,Stone Spear,260,1 hour 15 min 46 sec,Melee
Armored Foundation,Longsword,1667,15 hours 16 min 40 sec,Melee
Armored Foundation,Longsword,167,1 hour 31 min 40 sec,Melee
Armored Foundation,Salvaged Sword,1250,14 hours 14 min 9 sec,Melee
Armored Foundation,Salvaged Sword,122,1 hour 25 min 21 sec,Melee
Armored Foundation,Torch,15385,148 hours 43 min 4 sec,Melee
Armored Foundation,TorchLit,57143,160 hours 19 min 2 sec,Melee
Armored Foundation,Torch,1539,14 hours 52 min 18 sec,Melee
Armored Foundation,TorchLit,5715,16 hours 1 min 54 sec,Melee
Armored Foundation,Wooden Spear,2353,17 hours 19 min 12 sec,Melee
Armored Foundation,Wooden Spear,236,1 hour 43 min 55 sec,Melee
Twig Roof,40mm HE Grenade,1,1 sec,Explosive
Twig Roof,Rocket,1,1 sec,Explosive
Twig Roof,Incendiary Rocket,1,1 sec,Explosive
Twig Roof,High Velocity Rocket,1,1 sec,Explosive
Twig Roof,Timed Explosive Charge,1,10 sec,Explosive
Twig Roof,Beancan Grenade ,1,6 sec,Explosive
Twig Roof,Fire Arrow,1,1 sec,Explosive
Twig Roof,F1 Grenade ,1,5 sec,Explosive
Twig Roof,Flame Thrower,2,17 sec,Explosive
Twig Roof,Satchel Charge,1,9 sec,Explosive
Twig Roof,Explosive 5.56 Rifle Ammo,2,1 sec,Explosive
Twig Roof,Explosive 5.56 Rifle Ammo,1,1 sec,Explosive
Twig Roof,Flashlight,3,36 sec,Melee
Twig Roof,Flashlight,1,4 sec,Melee
Twig Roof,Jackhammer,1,5 sec,Melee
Twig Roof,JackhammerWorkbench Refill,1,5 sec,Melee
Twig Roof,Bone Club,2,30 sec,Melee
Twig Roof,Bone Club,1,3 sec,Melee
Twig Roof,Bone Knife,2,23 sec,Melee
Twig Roof,Bone Knife,1,2 sec,Melee
Twig Roof,Chainsaw,2,9 sec,Melee
Twig Roof,Chainsaw,1,1 sec,Melee
Twig Roof,Salvaged Cleaver,1,18 sec,Melee
Twig Roof,Hatchet,1,18 sec,Melee
Twig Roof,Combat Knife,2,11 sec,Melee
Twig Roof,Combat Knife,1,1 sec,Melee
Twig Roof,Mace,1,20 sec,Melee
Twig Roof,Machete,1,15 sec,Melee
Twig Roof,Paddle,1,21 sec,Melee
Twig Roof,Pickaxe,1,25 sec,Melee
Twig Roof,Rock,2,1 min 6 sec,Melee
Twig Roof,Rock,1,6 sec,Melee
Twig Roof,Salvaged Axe,1,16 sec,Melee
Twig Roof,Salvaged Hammer,1,17 sec,Melee
Twig Roof,Salvaged Icepick,1,16 sec,Melee
Twig Roof,Stone Hatchet,2,31 sec,Melee
Twig Roof,Stone Hatchet,1,3 sec,Melee
Twig Roof,Stone Pickaxe,2,28 sec,Melee
Twig Roof,Stone Pickaxe,1,2 sec,Melee
Twig Roof,Stone Spear,2,23 sec,Melee
Twig Roof,Stone Spear,1,3 sec,Melee
Twig Roof,Longsword,1,14 sec,Melee
Twig Roof,Salvaged Sword,1,12 sec,Melee
Twig Roof,Torch,4,2 min 13 sec,Melee
Twig Roof,TorchLit,3,24 sec,Melee
Twig Roof,Torch,1,13 sec,Melee
Twig Roof,TorchLit,1,9 sec,Melee
Twig Roof,Wooden Spear,2,31 sec,Melee
Twig Roof,Wooden Spear,1,3 sec,Melee
Wooden Roof,40mm HE Grenade,8,8 sec,Explosive
Wooden Roof,Rocket,2,6 sec,Explosive
Wooden Roof,Incendiary Rocket,1,20 sec,Explosive
Wooden Roof,High Velocity Rocket,9,48 sec,Explosive
Wooden Roof,High Velocity Rocket,8,42 sec,Explosive
Wooden Roof,Timed Explosive Charge,1,10 sec,Explosive
Wooden Roof,Beancan Grenade ,13,51 sec,Explosive
Wooden Roof,Fire Arrow,125,2 min 4 sec,Explosive
Wooden Roof,F1 Grenade ,59,2 min 59 sec,Explosive
Wooden Roof,Flame Thrower,206,44 sec,Explosive
Wooden Roof,Satchel Charge,3,12 sec,Explosive
Wooden Roof,Explosive 5.56 Rifle Ammo,49,21 sec,Explosive
Wooden Roof,Explosive 5.56 Rifle Ammo,44,15 sec,Explosive
Wooden Roof,Flashlight,642,2 hours 29 min 35 sec,Melee
Wooden Roof,Flashlight,65,14 min 58 sec,Melee
Wooden Roof,Jackhammer,22,4 min 31 sec,Melee
Wooden Roof,JackhammerWorkbench Refill,2,6 min 35 sec,Melee
Wooden Roof,Jackhammer,3,27 sec,Melee
Wooden Roof,JackhammerWorkbench Refill,1,31 sec,Melee
Wooden Roof,Bone Club,435,2 hours 8 min 45 sec,Melee
Wooden Roof,Bone Club,44,12 min 52 sec,Melee
Wooden Roof,Bone Knife,42,12 min 50 sec,Melee
Wooden Roof,Bone Knife,4,1 min 16 sec,Melee
Wooden Roof,Chainsaw,35,4 min 2 sec,Melee
Wooden Roof,Chainsaw,3,23 sec,Melee
Wooden Roof,Salvaged Cleaver,11,7 min 8 sec,Melee
Wooden Roof,Salvaged Cleaver,1,42 sec,Melee
Wooden Roof,Hatchet,12,11 min 54 sec,Melee
Wooden Roof,Hatchet,2,1 min 12 sec,Melee
Wooden Roof,Combat Knife,37,6 min 9 sec,Melee
Wooden Roof,Combat Knife,4,36 sec,Melee
Wooden Roof,Mace,132,1 hour 25 min 31 sec,Melee
Wooden Roof,Mace,14,8 min 33 sec,Melee
Wooden Roof,Machete,14,6 min 11 sec,Melee
Wooden Roof,Machete,2,37 sec,Melee
Wooden Roof,Paddle,97,1 hour 28 min 24 sec,Melee
Wooden Roof,Paddle,10,8 min 50 sec,Melee
Wooden Roof,Pickaxe,11,15 min 47 sec,Melee
Wooden Roof,Pickaxe,1,1 min 34 sec,Melee
Wooden Roof,Rock,368,4 hours 36 min 57 sec,Melee
Wooden Roof,Rock,37,27 min 41 sec,Melee
Wooden Roof,Salvaged Axe,6,7 min 2 sec,Melee
Wooden Roof,Salvaged Axe,1,42 sec,Melee
Wooden Roof,Salvaged Hammer,58,1 hour 10 min 24 sec,Melee
Wooden Roof,Salvaged Hammer,6,7 min 2 sec,Melee
Wooden Roof,Salvaged Icepick,8,8 min 48 sec,Melee
Wooden Roof,Salvaged Icepick,1,52 sec,Melee
Wooden Roof,Stone Hatchet,46,18 min 36 sec,Melee
Wooden Roof,Stone Hatchet,5,1 min 52 sec,Melee
Wooden Roof,Stone Pickaxe,96,34 min 28 sec,Melee
Wooden Roof,Stone Pickaxe,10,3 min 27 sec,Melee
Wooden Roof,Stone Spear,65,18 min 56 sec,Melee
Wooden Roof,Stone Spear,7,1 min 54 sec,Melee
Wooden Roof,Longsword,11,5 min 44 sec,Melee
Wooden Roof,Longsword,1,34 sec,Melee
Wooden Roof,Salvaged Sword,8,5 min 19 sec,Melee
Wooden Roof,Salvaged Sword,1,31 sec,Melee
Wooden Roof,Torch,962,9 hours 17 min 41 sec,Melee
Wooden Roof,TorchLit,325,54 min 38 sec,Melee
Wooden Roof,Torch,97,55 min 46 sec,Melee
Wooden Roof,TorchLit,179,30 min 3 sec,Melee
Wooden Roof,Wooden Spear,59,25 min 58 sec,Melee
Wooden Roof,Wooden Spear,6,2 min 35 sec,Melee
Stone Roof,40mm HE Grenade,29,33 sec,Explosive
Stone Roof,40mm HE Grenade,27,32 sec,Explosive
Stone Roof,Rocket,4,18 sec,Explosive
Stone Roof,High Velocity Rocket,32,3 min 6 sec,Explosive
Stone Roof,High Velocity Rocket,31,3 min ,Explosive
Stone Roof,Timed Explosive Charge,2,11 sec,Explosive
Stone Roof,Beancan Grenade ,46,2 min 55 sec,Explosive
Stone Roof,F1 Grenade ,182,9 min 8 sec,Explosive
Stone Roof,Satchel Charge,10,22 sec,Explosive
Stone Roof,Explosive 5.56 Rifle Ammo,185,1 min 18 sec,Explosive
Stone Roof,Explosive 5.56 Rifle Ammo,173,1 min 12 sec,Explosive
Stone Roof,Flashlight,1283,4 hours 59 min 9 sec,Melee
Stone Roof,Flashlight,129,29 min 55 sec,Melee
Stone Roof,Jackhammer,88,18 min 7 sec,Melee
Stone Roof,JackhammerWorkbench Refill,5,27 min 2 sec,Melee
Stone Roof,Jackhammer,9,1 min 48 sec,Melee
Stone Roof,JackhammerWorkbench Refill,1,2 min 10 sec,Melee
Stone Roof,Bone Club,869,4 hours 17 min 31 sec,Melee
Stone Roof,Bone Club,87,25 min 44 sec,Melee
Stone Roof,Bone Knife,373,1 hour 50 min 22 sec,Melee
Stone Roof,Bone Knife,36,11 min ,Melee
Stone Roof,Chainsaw,695,1 hour 21 min ,Melee
Stone Roof,Chainsaw,70,8 min 5 sec,Melee
Stone Roof,Salvaged Cleaver,209,2 hours 22 min 22 sec,Melee
Stone Roof,Salvaged Cleaver,21,14 min 14 sec,Melee
Stone Roof,Hatchet,150,2 hours 32 min 29 sec,Melee
Stone Roof,Hatchet,15,15 min 14 sec,Melee
Stone Roof,Combat Knife,314,52 min 50 sec,Melee
Stone Roof,Combat Knife,32,5 min 17 sec,Melee
Stone Roof,Mace,264,2 hours 51 min 3 sec,Melee
Stone Roof,Mace,27,17 min 6 sec,Melee
Stone Roof,Machete,275,2 hours 3 min 37 sec,Melee
Stone Roof,Machete,28,12 min 22 sec,Melee
Stone Roof,Paddle,194,2 hours 56 min 50 sec,Melee
Stone Roof,Paddle,19,17 min 40 sec,Melee
Stone Roof,Pickaxe,72,1 hour 45 min 21 sec,Melee
Stone Roof,Pickaxe,7,10 min 31 sec,Melee
Stone Roof,Rock,736,9 hours 13 min 55 sec,Melee
Stone Roof,Rock,74,55 min 23 sec,Melee
Stone Roof,Salvaged Axe,94,1 hour 51 min 13 sec,Melee
Stone Roof,Salvaged Axe,10,11 min 7 sec,Melee
Stone Roof,Salvaged Hammer,116,2 hours 20 min 49 sec,Melee
